rank,selection_tag,selection_reason,master_ccl_id,master_cpd_id,y,y_pred,model_res,neighbor_mean_y,knn_res,z_model,z_knn,combined_score,per_drug_r2,log10_ic50_std,ModelID,cpd_name,gene_symbol_of_protein_target,target_or_activity_of_compound,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype
1,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=+3.724, RF OOF predicted -2.285 (Δ_model=+6.009), 20-NN mean=-2.376 (Δ_knn=+6.100). Drug target: PLK1. Cell lineage: Lymphoid / Mature B-Cell Neoplasms. Per-drug R² on held-out cells = 0.27.",964,347813,3.7237410463634473,-2.285428279190437,6.009169325553884,-2.376216196206402,6.099957242569849,7.528020262444778,6.857226949879231,14.385247212324009,0.2724305966653217,0.0,ACH-000068,BI-2536,PLK1,inhibitor of polo-like kinase 1 (PLK1),Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma
2,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.639, RF OOF predicted +1.054 (Δ_model=-4.694), 20-NN mean=+1.516 (Δ_knn=-5.155). Drug target: TOP1. Cell lineage: CNS/Brain / Diffuse Glioma. Per-drug R² on held-out cells = 0.40.",281,44580,-3.63925374767113,1.0543833536560028,-4.693637101327132,1.5160608432031024,-5.155314590874232,5.632043041349957,5.624606726035324,11.25664976738528,0.4014387471997103,0.0,ACH-000027,topotecan,TOP1,inhibitor of topoisomerase I,CNS/Brain,Diffuse Glioma,Glioblastoma
3,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=+3.992, RF OOF predicted -0.873 (Δ_model=+4.865), 20-NN mean=-0.864 (Δ_knn=+4.855). Drug target: TOP1. Cell lineage: Pancreas / Pancreatic Adenocarcinoma. Per-drug R² on held-out cells = 0.33.",924,375637,3.9916577425043904,-0.8730752627163801,4.864733005220771,-0.8636902996710735,4.855348042175464,5.878630643258105,5.23319433983926,11.111824983097364,0.3277538206621638,0.0,ACH-000093,SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma
4,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.491, RF OOF predicted +0.601 (Δ_model=-4.092), 20-NN mean=+2.044 (Δ_knn=-5.535). Drug target: MAP2K1;MAP2K2. Cell lineage: Lymphoid / Mature B-Cell Neoplasms. Per-drug R² on held-out cells = 0.22.",680,348991,-3.4911847761297516,0.6011455441708389,-4.09233032030059,2.044146992649256,-5.535331768779008,4.7654249998297,6.12047345199007,10.88589845181977,0.220325680836209,0.0,ACH-000220,selumetinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma
5,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.943, RF OOF predicted +0.403 (Δ_model=-4.346), 20-NN mean=+1.037 (Δ_knn=-4.981). Drug target: PLK1. Cell lineage: Breast / Invasive Breast Carcinoma. Per-drug R² on held-out cells = 0.25.",658,649862,-3.943492943198154,0.4025072861833185,-4.346000229381472,1.037221791023755,-4.980714734221909,5.13102027787562,5.396779500572244,10.527799778447864,0.2481771232486557,0.0,ACH-000849,GSK461364,PLK1,inhibitor of polo-like kinase 1 (PLK1),Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma
6,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.528, RF OOF predicted +1.058 (Δ_model=-4.586), 20-NN mean=+1.152 (Δ_knn=-4.680). Drug target: AURKB. Cell lineage: Breast / Invasive Breast Carcinoma. Per-drug R² on held-out cells = 0.34.",658,601923,-3.5277252395707555,1.058081030218478,-4.5858062697892334,1.1520884451820386,-4.679813684752794,5.476634609262526,5.004147727821211,10.480782337083738,0.3416750886288872,0.0,ACH-000849,barasertib,AURKB,inhibitor of aurora kinase B,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma
7,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.823, RF OOF predicted +0.718 (Δ_model=-4.541), 20-NN mean=+0.763 (Δ_knn=-4.586). Drug target: BRAF. Cell lineage: Myeloid / Acute Myeloid Leukemia. Per-drug R² on held-out cells = 0.53.",1028,687954,-3.8228288830399437,0.7181497485760572,-4.540978631616001,0.7632367344127565,-4.5860656174527,5.412027920587997,4.881820238698255,10.293848159286252,0.5336411550680393,0.0,ACH-000112,dabrafenib,BRAF,inhibitor of BRAF,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia
8,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.678, RF OOF predicted +1.067 (Δ_model=-4.745), 20-NN mean=+0.649 (Δ_knn=-4.327). Drug target: AURKA;AURKB. Cell lineage: Bowel / Colorectal Adenocarcinoma. Per-drug R² on held-out cells = 0.33.",1176,636711,-3.6782461514591684,1.0666986727084151,-4.744944824167583,0.6492051292495645,-4.327451280708733,5.705988986557738,4.544366428969888,10.250355415527626,0.3285069311425618,0.0,ACH-000381,alisertib,AURKA;AURKB,inhibitor of aurora kinases A and B,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma
9,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.902, RF OOF predicted +0.406 (Δ_model=-4.308), 20-NN mean=+0.907 (Δ_knn=-4.810). Drug target: PLK1. Cell lineage: Esophagus/Stomach / Esophageal Squamous Cell Carcinoma. Per-drug R² on held-out cells = 0.25.",1191,649862,-3.902236068972651,0.4059868969321135,-4.308222965904765,0.9073118221128637,-4.809547891085515,5.076574761674575,5.173431854642087,10.25000661631666,0.2481771232486557,0.0,ACH-000917,GSK461364,PLK1,inhibitor of polo-like kinase 1 (PLK1),Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma
10,abnormal_combined,"LLM-explainable abnormal: observed log10(IC50)=-3.203, RF OOF predicted +1.068 (Δ_model=-4.272), 20-NN mean=+1.378 (Δ_knn=-4.581). Drug target: AURKB. Cell lineage: Lung / Non-Small Cell Lung Cancer. Per-drug R² on held-out cells = 0.34.",600,601923,-3.2032640933956777,1.0684188119261375,-4.271682905321815,1.3778819162821967,-4.581146009677875,5.02391233254752,4.875400871516661,9.899313204064182,0.3416750886288872,0.0,ACH-000596,barasertib,AURKB,inhibitor of aurora kinase B,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma
