rank,selection_tag,selection_reason,master_ccl_id,master_cpd_id,y,neighbor_mean_y,neighbor_std_y,residual,abs_residual,ModelID,cpd_name
1,outlier_knn,curated outlier: observed log10(IC50)=-3.616 vs 20-NN mean=+3.165 (|Δ|=6.781),470,27872,-3.6164521651108426,3.1647433959152176,0.4091299155583241,-6.78119556102606,6.78119556102606,ACH-000882,sildenafil
2,outlier_knn,curated outlier: observed log10(IC50)=-3.886 vs 20-NN mean=+2.285 (|Δ|=6.171),1079,463198,-3.886297244021997,2.2847812449587996,0.7358459034742669,-6.171078488980797,6.171078488980797,ACH-000682,BRD-K37390332
3,outlier_knn,curated outlier: observed log10(IC50)=-3.713 vs 20-NN mean=+2.437 (|Δ|=6.150),909,411727,-3.7126331380043354,2.4374868761104698,0.6791003714984233,-6.150120014114805,6.150120014114805,ACH-001151,PRL-3 inhibitor I
4,outlier_knn,curated outlier: observed log10(IC50)=+3.724 vs 20-NN mean=-2.376 (|Δ|=6.100),964,347813,3.7237410463634473,-2.376216196206402,1.0470035780578746,6.099957242569849,6.099957242569849,ACH-000068,BI-2536
5,outlier_knn,curated outlier: observed log10(IC50)=-3.240 vs 20-NN mean=+2.719 (|Δ|=5.958),658,608062,-3.239519459862596,2.7189385486329454,0.7499101976185527,-5.958458008495541,5.958458008495541,ACH-000849,BRD8899
6,outlier_knn,curated outlier: observed log10(IC50)=+3.522 vs 20-NN mean=-2.431 (|Δ|=5.953),74,660364,3.52205094926858,-2.431190200027829,1.5618548107160652,5.953241149296408,5.953241149296408,ACH-000245,docetaxel
7,outlier_knn,curated outlier: observed log10(IC50)=-4.000 vs 20-NN mean=+1.836 (|Δ|=5.836),1149,402775,-3.9996290550064737,1.8362758154078513,0.49875892242553693,-5.835904870414325,5.835904870414325,ACH-000953,BRD-K14844214
8,outlier_knn,curated outlier: observed log10(IC50)=-3.986 vs 20-NN mean=+1.769 (|Δ|=5.755),495,215497,-3.98642689815921,1.7688647497508607,0.7311389723381716,-5.75529164791007,5.75529164791007,ACH-000132,Mdivi-1
9,outlier_knn,curated outlier: observed log10(IC50)=-3.841 vs 20-NN mean=+1.880 (|Δ|=5.721),1043,26972,-3.840868142135365,1.8804699656913482,0.6182670681414738,-5.721338107826713,5.721338107826713,ACH-000615,tamoxifen
10,outlier_knn,curated outlier: observed log10(IC50)=-3.905 vs 20-NN mean=+1.805 (|Δ|=5.709),155435,411731,-3.904738626844117,1.804618508728224,0.5667840900937463,-5.709357135572342,5.709357135572342,ACH-000893,SID 26681509
11,outlier_knn,curated outlier: observed log10(IC50)=+3.522 vs 20-NN mean=-2.156 (|Δ|=5.678),243,62602,3.52205094926858,-2.156235649097339,0.6425541986080002,5.6782865983659185,5.6782865983659185,ACH-000978,vincristine
12,outlier_knn,curated outlier: observed log10(IC50)=-3.883 vs 20-NN mean=+1.723 (|Δ|=5.606),539,415688,-3.882712206204316,1.7229476284816823,0.6393031793958496,-5.605659834685998,5.605659834685998,ACH-000889,BRD-K02492147
13,outlier_knn,curated outlier: observed log10(IC50)=-3.532 vs 20-NN mean=+2.046 (|Δ|=5.579),895,411731,-3.532396502031166,2.046341980897138,0.3718880955858125,-5.578738482928304,5.578738482928304,ACH-000544,SID 26681509
14,outlier_knn,curated outlier: observed log10(IC50)=-3.491 vs 20-NN mean=+2.044 (|Δ|=5.535),680,348991,-3.491184776129752,2.0441469926492557,1.1428240579171438,-5.535331768779008,5.535331768779008,ACH-000220,selumetinib
15,outlier_knn,curated outlier: observed log10(IC50)=-3.935 vs 20-NN mean=+1.591 (|Δ|=5.526),1176,640011,-3.935260294073839,1.5906322039610763,1.3051713961498994,-5.525892498034915,5.525892498034915,ACH-000381,quizartinib
16,outlier_knn,curated outlier: observed log10(IC50)=-3.886 vs 20-NN mean=+1.634 (|Δ|=5.520),1083,374755,-3.886297244021997,1.6335046790126646,0.8189495825301012,-5.519801923034661,5.519801923034661,ACH-000368,bendamustine
17,outlier_knn,curated outlier: observed log10(IC50)=-3.683 vs 20-NN mean=+1.825 (|Δ|=5.508),110,42319,-3.6831484952739375,1.8247147725784234,0.7934811376716793,-5.507863267852361,5.507863267852361,ACH-000234,BRD-K26531177
18,outlier_knn,curated outlier: observed log10(IC50)=-3.755 vs 20-NN mean=+1.748 (|Δ|=5.503),1052,688516,-3.7545703641410326,1.7484946103844763,1.2335903643661172,-5.503064974525509,5.503064974525509,ACH-000312,BCL-LZH-4
19,outlier_knn,curated outlier: observed log10(IC50)=-3.895 vs 20-NN mean=+1.590 (|Δ|=5.485),303,30371,-3.8948395132962657,1.5903698823067702,0.8867153625630043,-5.485209395603036,5.485209395603036,ACH-000891,methotrexate
20,outlier_knn,curated outlier: observed log10(IC50)=-3.802 vs 20-NN mean=+1.677 (|Δ|=5.479),1245,640011,-3.802023156223623,1.6769041798674742,0.5911384190728295,-5.478927336091097,5.478927336091097,ACH-000428,quizartinib
21,outlier_knn,curated outlier: observed log10(IC50)=+3.829 vs 20-NN mean=-1.640 (|Δ|=5.469),296,26956,3.829101544845841,-1.6399649548277673,2.42728415492894,5.469066499673608,5.469066499673608,ACH-000578,paclitaxel
22,outlier_knn,curated outlier: observed log10(IC50)=+3.772 vs 20-NN mean=-1.695 (|Δ|=5.467),128,26956,3.771905845669684,-1.6953767128279087,2.3972907128710204,5.467282558497592,5.467282558497592,ACH-000354,paclitaxel
23,outlier_knn,curated outlier: observed log10(IC50)=-3.615 vs 20-NN mean=+1.822 (|Δ|=5.437),97,596868,-3.615352838475524,1.8220963670454022,0.3107949907227042,-5.437449205520926,5.437449205520926,ACH-000927,BRD-K50799972
24,outlier_knn,curated outlier: observed log10(IC50)=-3.896 vs 20-NN mean=+1.537 (|Δ|=5.433),482,50715,-3.895572486670497,1.5374633429172522,0.8336770454418019,-5.433035829587749,5.433035829587749,ACH-000396,NSC95397
25,outlier_knn,curated outlier: observed log10(IC50)=-3.983 vs 20-NN mean=+1.448 (|Δ|=5.431),331,660084,-3.9826268426344713,1.4480928047520023,1.1898954846980403,-5.430719647386473,5.430719647386473,ACH-000066,IPR-456
26,normal_knn,curated normal: observed log10(IC50)=+1.717 matches 20-NN mean=+1.717 (|Δ|=0.000),915,594399,1.7173761252630129,1.7173923608158694,0.7892919336141329,-1.6235552856569413e-05,1.6235552856569413e-05,ACH-000409,NSC48300
27,normal_knn,curated normal: observed log10(IC50)=-0.376 matches 20-NN mean=-0.376 (|Δ|=0.000),965,648987,-0.376291396279538,-0.3762743655299162,0.3743616902844732,-1.7030749621782526e-05,1.7030749621782526e-05,ACH-000960,BRD-K70511574
28,normal_knn,curated normal: observed log10(IC50)=+1.178 matches 20-NN mean=+1.178 (|Δ|=0.000),1165,375564,1.1782314030288223,1.1782507809319946,0.8716085122789942,-1.9377903172301814e-05,1.9377903172301814e-05,ACH-000163,TPCA-1
29,normal_knn,curated normal: observed log10(IC50)=+0.371 matches 20-NN mean=+0.371 (|Δ|=0.000),351,639759,0.3712349990407407,0.3712582937409511,0.747099097770009,-2.32947002103967e-05,2.32947002103967e-05,ACH-000972,GDC-0941
30,normal_knn,curated normal: observed log10(IC50)=+1.429 matches 20-NN mean=+1.429 (|Δ|=0.000),1081,215497,1.4291833963319407,1.4291293798072575,0.6075225161073168,5.401652468317586e-05,5.401652468317586e-05,ACH-000302,Mdivi-1
31,normal_knn,curated normal: observed log10(IC50)=-1.793 matches 20-NN mean=-1.792 (|Δ|=0.000),958,411720,-1.7925556136024732,-1.7924978165151686,0.35848500817767026,-5.7797087304578554e-05,5.7797087304578554e-05,ACH-000922,triptolide
32,normal_knn,curated normal: observed log10(IC50)=+0.929 matches 20-NN mean=+0.929 (|Δ|=0.000),651,660086,0.92927959661471,0.9292177655509439,1.4305857407762896,6.183106376611569e-05,6.183106376611569e-05,ACH-000934,leptomycin B
33,normal_knn,curated normal: observed log10(IC50)=-0.468 matches 20-NN mean=-0.468 (|Δ|=0.000),1137,417452,-0.4684031810713422,-0.46833540128024626,0.35000443958708527,-6.777979109595655e-05,6.777979109595655e-05,ACH-000567,nakiterpiosin
34,normal_knn,curated normal: observed log10(IC50)=+1.290 matches 20-NN mean=+1.290 (|Δ|=0.000),1131,660819,1.2903515953351947,1.290437953606739,1.0359616201434552,-8.635827154424014e-05,8.635827154424014e-05,ACH-000967,KHS101
35,normal_knn,curated normal: observed log10(IC50)=-0.861 matches 20-NN mean=-0.861 (|Δ|=0.000),285,606254,-0.860863353541517,-0.8609568998388818,0.8328838737458963,9.354629736479936e-05,9.354629736479936e-05,ACH-000746,SNS-032
36,normal_knn,curated normal: observed log10(IC50)=+0.770 matches 20-NN mean=+0.770 (|Δ|=0.000),255,660346,0.7699522350772998,0.7700466768192967,0.7801676385542218,-9.444174199690902e-05,9.444174199690902e-05,ACH-000846,bosutinib
37,normal_knn,curated normal: observed log10(IC50)=+1.248 matches 20-NN mean=+1.248 (|Δ|=0.000),25,44503,1.2481166344360062,1.248213374922958,0.9683075475822691,-9.674048695185178e-05,9.674048695185178e-05,ACH-000558,NSC23766
38,normal_knn,curated normal: observed log10(IC50)=+1.228 matches 20-NN mean=+1.228 (|Δ|=0.000),895,33166,1.2283655953674888,1.2284778027267256,0.905033130460597,-0.00011220735923678227,0.00011220735923678227,ACH-000544,prochlorperazine
39,normal_knn,curated normal: observed log10(IC50)=+1.630 matches 20-NN mean=+1.630 (|Δ|=0.000),1172,417417,1.6300774265204585,1.6302095402716266,0.5539461602951952,-0.00013211375116806146,0.00013211375116806146,ACH-000018,tipifarnib-P1
40,normal_knn,curated normal: observed log10(IC50)=-1.169 matches 20-NN mean=-1.169 (|Δ|=0.000),1045,411770,-1.169458433435783,-1.1693217658032617,0.7654905549629495,-0.0001366676325211813,0.0001366676325211813,ACH-000810,SR-II-138A
41,normal_knn,curated normal: observed log10(IC50)=+0.520 matches 20-NN mean=+0.519 (|Δ|=0.000),719,411792,0.519573647313751,0.5194366621996344,0.28223339886186394,0.00013698511411663894,0.00013698511411663894,ACH-000944,parthenolide
42,normal_knn,curated normal: observed log10(IC50)=+0.969 matches 20-NN mean=+0.969 (|Δ|=0.000),1192,46792,0.9692605690146584,0.969123346959875,0.9727239104586998,0.00013722205478339244,0.00013722205478339244,ACH-000772,importazole
43,normal_knn,curated normal: observed log10(IC50)=+1.319 matches 20-NN mean=+1.319 (|Δ|=0.000),1085,199337,1.3185538090278146,1.3186982462108126,0.772112383206511,-0.0001444371829979474,0.0001444371829979474,ACH-000461,DBeQ
44,normal_knn,curated normal: observed log10(IC50)=+1.466 matches 20-NN mean=+1.466 (|Δ|=0.000),997,44503,1.4660463776631665,1.4661966661329306,0.6254063491406854,-0.00015028846976417043,0.00015028846976417043,ACH-000473,NSC23766
45,normal_knn,curated normal: observed log10(IC50)=+1.516 matches 20-NN mean=+1.516 (|Δ|=0.000),1129,28784,1.5162880881594734,1.5161361636830089,1.0525417504899421,0.00015192447646450447,0.00015192447646450447,ACH-000692,ciclopirox
46,normal_knn,curated normal: observed log10(IC50)=+0.399 matches 20-NN mean=+0.399 (|Δ|=0.000),253,606249,0.3992306599037044,0.3993839973372973,0.9530071921349168,-0.00015333743359291496,0.00015333743359291496,ACH-000487,NVP-TAE684
47,normal_knn,curated normal: observed log10(IC50)=+1.384 matches 20-NN mean=+1.384 (|Δ|=0.000),331,411726,1.3841359200629857,1.3842943692230656,0.7170819560949258,-0.00015844916007989873,0.00015844916007989873,ACH-000066,16-beta-bromoandrosterone
48,normal_knn,curated normal: observed log10(IC50)=+1.364 matches 20-NN mean=+1.364 (|Δ|=0.000),1046,377381,1.3639669103534988,1.3638069327946665,0.6523843001234509,0.0001599775588323471,0.0001599775588323471,ACH-000640,MK-2206
49,normal_knn,curated normal: observed log10(IC50)=+1.092 matches 20-NN mean=+1.092 (|Δ|=0.000),41,374750,1.0918357942732595,1.0916733021232434,0.5583868272166113,0.0001624921500160692,0.0001624921500160692,ACH-000086,sunitinib
50,normal_knn,curated normal: observed log10(IC50)=+1.827 matches 20-NN mean=+1.828 (|Δ|=0.000),33,660985,1.8274436372813685,1.8276095538085368,0.4877109727085651,-0.0001659165271683527,0.0001659165271683527,ACH-000555,pitstop2
