rank,report_id,evidence_id,selection_tag,selection_reason,master_ccl_id,master_cpd_id,ModelID,cpd_name,cell_line_name,lineage,observed_y,n_experiments,log10_ic50_std
1,RPT-0001,SHAP-0001,A_sanity_check,Manifest 25_pairs.csv row 1 (A_sanity_check): AZD7762 on A-204 / ACH-000201 (Kidney); observed log10(IC50)=-1.1810.,26,660777,ACH-000201,AZD7762,A-204,Kidney,-1.1809861657067742,1,0.0
2,RPT-0002,SHAP-0002,A_sanity_check,Manifest 25_pairs.csv row 2 (A_sanity_check): SCH-79797 on Daudi / ACH-000786 (Lymphoid); observed log10(IC50)=-0.0633.,203,375264,ACH-000786,SCH-79797,Daudi,Lymphoid,-0.0633179197218346,1,0.0
3,RPT-0003,SHAP-0003,A_sanity_check,Manifest 25_pairs.csv row 3 (A_sanity_check): obatoclax on Daudi / ACH-000786 (Lymphoid); observed log10(IC50)=-1.3840.,203,606142,ACH-000786,obatoclax,Daudi,Lymphoid,-1.3840496283849502,1,0.0
4,RPT-0004,SHAP-0004,A_sanity_check,Manifest 25_pairs.csv row 4 (A_sanity_check): obatoclax on A2780 / ACH-000657 (Ovary/Fallopian Tube); observed log10(IC50)=-0.7250.,29,606142,ACH-000657,obatoclax,A2780,Ovary/Fallopian Tube,-0.7250196468547324,1,0.0
5,RPT-0005,SHAP-0005,A_sanity_check,Manifest 25_pairs.csv row 5 (A_sanity_check): obatoclax on NCI-H520 / ACH-000395 (Lung); observed log10(IC50)=-0.4511.,155324,606142,ACH-000395,obatoclax,NCI-H520,Lung,-0.4511366754637749,2,0.1179368909690648
6,RPT-0006,SHAP-0006,A_sanity_check,Manifest 25_pairs.csv row 6 (A_sanity_check): obatoclax on A-204 / ACH-000201 (Kidney); observed log10(IC50)=-0.5184.,26,606142,ACH-000201,obatoclax,A-204,Kidney,-0.5184259664107783,1,0.0
7,RPT-0007,SHAP-0007,A_sanity_check,Manifest 25_pairs.csv row 7 (A_sanity_check): doxorubicin on HGC-27 / ACH-000847 (Esophagus/Stomach); observed log10(IC50)=-1.1839.,368,36599,ACH-000847,doxorubicin,HGC-27,Esophagus/Stomach,-1.1838618412668456,1,0.0
8,RPT-0008,SHAP-0008,A_sanity_check,Manifest 25_pairs.csv row 8 (A_sanity_check): doxorubicin on Daudi / ACH-000786 (Lymphoid); observed log10(IC50)=-2.3904.,203,36599,ACH-000786,doxorubicin,Daudi,Lymphoid,-2.3904368140191177,1,0.0
9,RPT-0009,SHAP-0009,A_sanity_check,Manifest 25_pairs.csv row 9 (A_sanity_check): doxorubicin on A2780 / ACH-000657 (Ovary/Fallopian Tube); observed log10(IC50)=-2.0412.,29,36599,ACH-000657,doxorubicin,A2780,Ovary/Fallopian Tube,-2.041236037026385,1,0.0
10,RPT-0010,SHAP-0010,A_sanity_check,Manifest 25_pairs.csv row 10 (A_sanity_check): doxorubicin on NCI-H520 / ACH-000395 (Lung); observed log10(IC50)=-0.1530.,155324,36599,ACH-000395,doxorubicin,NCI-H520,Lung,-0.1529888687468581,2,0.0109632828811702
