,n_drugs
MYOF (26509),92
TNFRSF12A (51330),82
SDC4 (6385),74
CCN1 (3491),71
PRSS23 (11098),69
WWTR1 (25937),61
LAMB2 (3913),60
GPX8 (493869),59
NQO1 (1728),58
ITGA3 (3675),56
AMOTL2 (51421),55
PPIC (5480),55
YAP1 (10413),54
ASPH (444),54
GPRC5A (9052),53
MYB (4602),51
GNG12 (55970),50
TM4SF1 (4071),49
CORO1A (11151),48
PLK2 (10769),45
WAS (7454),43
MET (4233),43
ITGB5 (3693),41
PXDC1 (221749),41
KDELR3 (11015),40
ARHGAP4 (393),40
ARHGAP29 (9411),39
ABLIM3 (22885),39
CTTN (2017),38
LIMD2 (80774),38
PTGR1 (22949),37
LGALS3 (3958),37
PLS3 (5358),37
SYTL2 (54843),36
NIBAN2 (64855),35
ERRFI1 (54206),35
UPP1 (7378),35
LMNA (4000),34
IKZF1 (10320),34
PERP (64065),34
CAV1 (857),33
MLPH (79083),33
FOSL1 (8061),33
S100A6 (6277),33
ANXA2 (302),32
S100A10 (6281),32
CAV2 (858),32
S100A13 (6284),32
PTPN7 (5778),32
EPHA2 (1969),31
MFNG (4242),31
THBS1 (7057),31
S100A16 (140576),31
SLC38A5 (92745),30
OSMR (9180),30
ABCC3 (8714),29
RND3 (390),29
S100A11 (6282),29
AJUBA (84962),29
ITGA6 (3655),29
PLAAT3 (11145),29
NCKAP1L (3071),29
FHL2 (2274),29
LMCD1 (29995),28
NTN4 (59277),28
EPS8 (2059),28
SLFN11 (91607),28
KRTAP2-3 (730755),28
MGST1 (4257),28
MGLL (11343),27
MATN2 (4147),27
GMFG (9535),27
GULP1 (51454),27
SPN (6693),27
EGFR (1956),26
AKR1B10 (57016),26
MYO1E (4643),26
ALDH3A1 (218),26
S100A2 (6273),26
HSPB8 (26353),25
NPAS2 (4862),25
EVL (51466),25
RAB13 (5872),25
GPRC5B (51704),25
GPC1 (2817),25
SH2D4A (63898),24
ARHGAP30 (257106),24
GPNMB (10457),24
EVA1A (84141),24
AHNAK2 (113146),24
PHLDA3 (23612),23
ANKRD1 (27063),23
MYO1G (64005),23
CCN2 (1490),23
CPNE7 (27132),23
DUSP6 (1848),23
CST3 (1471),22
DKK1 (22943),22
LTBR (4055),22
RGL3 (57139),22
ALDH1A3 (220),22
SELENOP (6414),22
ITGAL (3683),21
L1CAM (3897),21
RCSD1 (92241),21
COL12A1 (1303),21
CD53 (963),21
AKR1C1 (1645),21
VGF (7425),21
TRNP1 (388610),21
DAB2 (1601),21
PAPSS2 (9060),21
PHLDA1 (22822),21
SERPINB6 (5269),21
LDHB (3945),21
DCBLD2 (131566),21
KIFC3 (3801),21
F3 (2152),21
INPP5D (3635),21
PHLDA2 (7262),21
GAS6 (2621),20
ARHGAP15 (55843),20
NR2F2 (7026),20
MYLK (4638),20
EMP1 (2012),20
ADGRG1 (9289),20
GPX3 (2878),20
IGFBP6 (3489),20
GNG11 (2791),20
CD109 (135228),20
SLC2A3 (6515),20
TGFB2 (7042),20
GSN (2934),20
DHRS2 (10202),20
BACE2 (25825),20
CD37 (951),20
PLPP2 (8612),20
WWC1 (23286),20
CD44 (960),19
NUPR1 (26471),19
MT2A (4502),19
IGFBP3 (3486),19
PLAT (5327),19
AKR1C2 (1646),19
ATP1B1 (481),19
NNMT (4837),19
ERBB3 (2065),19
FN1 (2335),19
SRPX2 (27286),19
CTSL (1514),19
HCLS1 (3059),19
CYP1B1 (1545),19
CDC42EP1 (11135),19
CYFIP2 (26999),19
ADGRG6 (57211),19
LIF (3976),18
PMEPA1 (56937),18
SDC1 (6382),18
AXL (558),18
MAP4K1 (11184),18
ANXA1 (301),18
KRT15 (3866),18
LAMC2 (3918),18
AIF1 (199),18
ELMO1 (9844),18
RASGRP2 (10235),18
SEMA3C (10512),18
FRMD6 (122786),18
CELF2 (10659),18
NT5E (4907),18
C3 (718),18
CRIP1 (1396),18
ACKR3 (57007),18
KRT18 (3875),18
IGF2 (3481),18
S100A4 (6275),18
LYZ (4069),18
GDF15 (9518),17
HTRA1 (5654),17
TSPAN1 (10103),17
LAMB1 (3912),17
PHLDB2 (90102),17
CLU (1191),17
HMOX1 (3162),17
IRAG2 (4033),17
SEPTIN10 (151011),17
CEMIP (57214),17
RARRES2 (5919),17
AKR1C3 (8644),17
CCND1 (595),17
FABP5 (2171),17
DMKN (93099),17
LIMCH1 (22998),17
TIMP1 (7076),17
TIMP2 (7077),17
TMEM139 (135932),17
GSTP1 (2950),17
TGFBI (7045),16
SLAIN1 (122060),16
SGCE (8910),16
PROCR (10544),16
CSTA (1475),16
TCEAL9 (51186),16
CAVIN3 (112464),16
ADM (133),16
UCHL1 (7345),16
EPB41L3 (23136),16
TMSB15A (11013),16
FGF2 (2247),16
PLIN2 (123),16
CD276 (80381),16
APOD (347),16
ID3 (3399),16
NRP2 (8828),16
PTPRM (5797),16
PEG10 (23089),16
SPART (23111),16
FXYD3 (5349),16
SCARA3 (51435),16
PTK7 (5754),16
FEZ1 (9638),16
STEAP1 (26872),16
IGFBP5 (3488),16
CCDC9B (388115),16
RAI14 (26064),16
PLEK2 (26499),16
PFN2 (5217),16
QPRT (23475),16
GABRE (2564),15
GALNT14 (79623),15
NRG1 (3084),15
NREP (9315),15
NUP210 (23225),15
BMP4 (652),15
PMEL (6490),15
PDGFC (56034),15
PALLD (23022),15
APP (351),15
MYH14 (79784),15
SERPINF1 (5176),15
TRPV2 (51393),15
MMP14 (4323),15
KRT6A (3853),15
LAIR1 (3903),15
HLA-A (3105),15
SPON2 (10417),15
BCAM (4059),15
CLDN1 (9076),15
CXCR4 (7852),15
ME1 (4199),15
KRT80 (144501),15
HNMT (3176),15
IER3 (8870),15
TCIM (56892),14
HTATIP2 (10553),14
PTGES (9536),14
FGFR1 (2260),14
SOX2 (6657),14
